id,name,role,bio,image,linkedinUrl,slug
cfce8a91-8bfb-41f0-9bb1-a4b42ae2ab51,Tunde Onakoya,Founder Chess in Slums Africa | TIME100 Next Honoree | Guinness World Record Holder | Global Education Advocate,"Tunde Onakoya is a Nigerian chess master, social innovator, and founder of Chess in Slums Africa, a nonprofit transforming the lives of children in underprivileged communities through chess and education. Raised in the slums of Ikorodu, Lagos, Tunde discovered chess in a local barber's shop and turned that early spark into a global movement. Through Chess in Slums Africa, he has trained hundreds of children and secured lifelong scholarships for many, empowering them to rewrite their stories. In 2024, Tunde broke the Guinness World Record for the longest chess marathon in Times Square, playing for 60 hours to raise $1 million in support of education for African children. Named a TIME100 Next Honoree, Tunde's journey from dropping out of school at age 10 to inspiring a continent embodies what it means to evolve beyond the narrative.",https://cdn.sanity.io/images/vmtuwbwx/production/42846ed5f93c2dc58fa2262cbb79473c11c8075d-1080x1350.jpg,https://www.linkedin.com/in/tunde-onakoya,tunde-onakoya
0b52b988-1d10-4224-80db-0262561eb994,Oluwatosin Olaseinde,Founder Money Africa | Chartered Accountant | Financial Literacy Advocate,"Oluwatosin Olaseinde is a highly experienced chartered accountant with a decade of expertise in accounting, auditing, taxation, and corporate finance. She is the Founder/CEO of Money Africa, an innovative ed-tech platform designed to equip over 200,000 individuals with financial literacy and investment skills using technology. A graduate of the University of Johannesburg, Oluwatosin has established a credible reputation for simplifying complex financial concepts into easily understandable language. Her dedication to educating thousands of social media followers earned her the 2020 LinkedIn Top Voice of Finance and Economy award. She is a Washington Mandela Fellow and a finalist for The Future Awards in 2019. Described as ""the new face of money"" by The Guardian, Oluwatosin continues to break newer grounds in championing financial literacy in Africa.",https://cdn.sanity.io/images/vmtuwbwx/production/e7e9d39a5b9f1f462fada7e17cb2854cb272-1332x2000.jpg,,oluwatosin-olaseinde
1529f18d-8ab5-4be2-a95a-0573f1047c74,Tochukwu MacFoy,CEO The MacFoy Company | Founder Energize Central | Medical Doctor,"Tochukwu Macfoy, also known as Dr. Foy, is a visionary strategist, creative leader, and medical doctor committed to reshaping Africa's narrative through family-friendly entertainment and transformative storytelling. As the founder of Energize Central, a content and distribution hub that houses Energize Music, Energize Fest, and a suite of clean, values-based programming, he is pioneering a new gold standard for wholesome African entertainment. He expresses this broader creative and strategic vision through Same Energy, his agency for brand amplification, artist development, and cultural investment. Prior to founding Same Energy, he contributed significantly to content creation and strategic partnerships with top brands, including successful campaigns for Coca-Cola and Netflix productions. At Viacom Nigeria (now Paramount Africa), he demonstrated exceptional strategic thinking—securing distribution deals for Comedy Central and leading premium campaigns across sub-Saharan Africa on MTV Base.",https://cdn.sanity.io/images/vmtuwbwx/production/c9224578e13c580894ac658623dcfbf0699b-3331x4163.jpg,,tochukwu-macfoy
1ccc705c-1506-4c67-b657-fd71e9f6f385,Dr. Aishah N. Ahmad,Former Deputy Governor Central Bank of Nigeria | CFA | Board Director,"Dr. Aishah N. Ahmad, CFA, is a distinguished central banker, board leader, and global finance expert with nearly three decades of experience at the nexus of public policy, private markets, and governance. As the first female Deputy Governor for Financial System Stability at the Central Bank of Nigeria (2018–2023), she led transformative reforms that reshaped Nigeria's financial landscape, including the passage of the Banks and Other Financial Institutions Act (BOFIA) 2020, and advanced financial inclusion and digital innovation. Under her visionary leadership, Nigeria's financial inclusion rate rose from 63% to 74%, the country launched its first domestic card scheme, AfriGo, and telco-led Payment Service Banks emerged. A passionate advocate for gender equity, she institutionalized female leadership at the CBN and launched mentorship programs impacting over 8,000 girls and young professionals. Aishah is a recipient of the Officer of the Order of the Federal Republic (OFR).",https://cdn.sanity.io/images/vmtuwbwx/production/c2d7ff6a6d223c5d5dce5c9115348f1cfdf0-2560x2054.jpg,,aishah-ahmad
d64cc152-40b7-414a-b0e9-6e9283d895e5,Taiwo Oyedele,Chairman Presidential Fiscal Policy Committee | Founder Impact Africa Foundation,"Mr. Taiwo Oyedele is the Chairman of the Presidential Committee on Fiscal Policy and Tax Reforms set up by President Bola Ahmed Tinubu with a broad mandate to carry out critical reforms bothering on Fiscal Governance, Revenue Transformation and Economic Growth Facilitation. Prior to his current role, Mr. Oyedele was the Fiscal Policy Partner and Africa Tax Leader at PwC where he worked for 22 years including over 10 years in top leadership positions. Mr. Oyedele is an accountant and an economist by training. He is an author, keynote speaker, mentor and commentator on finance, business, and economic matters. He is a Fellow of the Nigeria Leadership Initiative, member of the Global Tax Forum and a former member of the Global Governing Council of the Association of Chartered Certified Accountants (ACCA). He is an Associate Professor at the Babcock University and a guest lecturer at the Lagos Business School. He is an alumnus of the London School of Economics & Political Science, Yale University and Harvard Kennedy School Executive Education.",https://cdn.sanity.io/images/vmtuwbwx/production/4508c32649205ae3b52bfc5327feedc4130f-1073x1080.jpg,,taiwo-oyedele
fe03e6d1-edec-4075-ba6b-b02bc08228e9,Tonye Cole,Co-founder Sahara Group | Philanthropist | Global Business Leader,"Tonye Patrick Cole is a distinguished Nigerian entrepreneur, philanthropist, and transformational leader whose work spans energy, governance, and youth empowerment across Africa and beyond. He is the co-founder and former Group Executive Director of Sahara Group, a leading energy conglomerate operating across 38 countries with over 4,000 employees and an annual turnover of $11 billion. Beyond boardrooms, Tonye is passionate about youth empowerment and social transformation. He founded the Nehemiah Youth Empowerment Initiative and the Behavioral Health Institute (BHI) to tackle leadership gaps and mental health challenges among African youth. His philanthropic footprint includes partnerships with the Down Syndrome Foundation, Slum2School, The Compassionate Center, and several orphanages across Nigeria. Tonye has also served on the boards of institutions like Atlas Mara, Bloomberg TV Africa, Nigerian Chamber of Shipping, and Enactus Nigeria, and was appointed to the World Bank Group's Expert Advisory Council on Citizen Engagement.",https://cdn.sanity.io/images/vmtuwbwx/production/c901a8b22479a6d0f0df8accaf97064750d7-1280x1280.jpg,https://ng.linkedin.com/in/tonye-p-cole-40802197,tonye-cole
1da625e8-28b9-472d-bd37-52d403859da6,Moji Hunponu-Wusu,Founder & CEO Woodhall Capital International | Investment Banking Expert,"Mrs. Moji Hunponu-Wusu is a distinguished businesswoman, philanthropist, and investment banking expert with a career spanning over 25 years. As the Founder and Chief Executive Officer (CEO) of Woodhall Capital International and its philanthropic arm, the Woodhall Capital Foundation, Mrs. Hunponu-Wusu has made remarkable strides in both the business and charitable sectors. Starting her career in investment banking in London, Mrs. Hunponu-Wusu worked with prestigious institutions like Credit Lyonnais, Goldman Sachs, and Deutsche Bank. Under her visionary leadership, Woodhall Capital has raised over $5 billion and has expanded its global footprint to key international hubs, including the United Kingdom, United Arab Emirates, and Nigeria. The firm's continued success is a testament to Mrs. Hunponu-Wusu's exceptional leadership, professionalism, and integrity, which have earned the company a 100% client retention rate.",https://cdn.sanity.io/images/vmtuwbwx/production/cbad17796410fb73a9e5e80f47fad3adaf5a9b-720x900.jpg,,moji-hunponu-wusu
33dd2e16-7651-42c7-8312-bb6df04b64fd,Beauty Etsanyi Tukura,Former Miss Nigeria 2019 | Model | Lawyer | Entrepreneur | MIPAD Honoree,"Beauty Etsanyi Tukura is a Nigerian model, lawyer, entrepreneur, and activist. She holds a law degree from Afe Babalola University and earned the title of Miss Nigeria (43rd edition) in December 2019, becoming the first contestant from Nigeria's north to win. Before entering Big Brother Naija Season 7 in 2022, she operated StylishBeauty, an online boutique for branded fashion and skincare products, and served as a distributor for international brands. A committed advocate for women's empowerment, gender equality, and education, Beauty has launched initiatives like the Girls Lead Club and the Beauty Tukura Foundation, focusing on supporting underprivileged girls. Recognizing her impact, she was named one of the Most Influential People of African Descent (MIPAD) Global Top 100 Under 40 in 2023, ranking fifth in the Media & Culture category, a prestigious nod from an initiative aligned with the United Nations' International Decade for People of African Descent.",https://cdn.sanity.io/images/vmtuwbwx/production/acc193d1a7cb4cae8ae43bb6dc316dfcf594-1050x1280.jpg,,beauty-tukura
1e1003a4-6324-4385-84bd-808c15f31fb2,Favour Ogazi,Marketing Strategist | Founder FONO | Business Development Professional,"Favour Ogazi is a marketing strategist and business development professional with over four years of experience enhancing brand visibility and driving sales growth. She currently leads Marketing and Business Development at DNI. In addition to her corporate role, Favour is the founder of FONO, a platform dedicated to business growth through strategic communications, branding, and storytelling. She also publishes ""Favour's Newsletter"" on Substack, where she shares insights and experiences related to her professional journey. Her portfolio showcases her expertise in social media marketing, brand management, and campaign management services across various sectors, including retail, e-commerce, and professional services.",https://cdn.sanity.io/images/vmtuwbwx/production/5ce4e0fd644853d99ecfece37c29ec21b2ec5-812x1280.jpg,,favour-ogazi
49cb5d4b-cd0a-445e-ba66-b7815e6118b9,Samuel Ajiboyede,Non-Executive Director | Group CEO Zido Technologies | Creator of Nurabox,"Samuel Ajiboyede is a Non-Executive Director and strategic innovation leader focused on advancing clean energy systems, intelligent transportation, data governance, and ethical AI adoption. With over 20 years of experience driving innovation across technology, infrastructure, and sustainability, he supports boards and organisations in building more resilient, efficient, and future-ready systems. As Group CEO of Zido Technologies, he leads one of Africa's largest digital logistics platforms, integrating green infrastructure into transport operations. He's also the creator of Nurabox, a conversational AI platform enabling trusted, automated service delivery for enterprises and governments. He serves on the Main Board of techUK, where he helps shape UK policy on AI, digital infrastructure, and smart systems. He also contributes to the Harvard Business Review Advisory Council and the Forbes Business Council. As a global speaker, mentor, and host of The Entrepreneur's Diary with over 1.5 million followers, he empowers future leaders with insights on digital skills, entrepreneurship, and technology policy.",https://cdn.sanity.io/images/vmtuwbwx/production/bcd7679a6adc3378e32e99d6090c23dd47e3-1600x1600.png,,samuel-ajiboyede
